year,state,population_million,education_million,welfare_million
2013,Massachusetts,6.715,21199.2,8323.2
2014,Massachusetts,6.765,21690.7,7800.1
2015,Massachusetts,6.797,22184.3,6661.3
2016,Massachusetts,6.827,22290.9,6501.8
2017,Massachusetts,6.864,23473.7,6467.6
2018,Massachusetts,6.886,23737.9,6704.0
2019,Massachusetts,6.895,24713.0,9707.5
2020,Massachusetts,6.894,25543.9,9947.6
2021,Massachusetts,6.892,26356.7,10193.3
2022,Massachusetts,6.891,27249.0,10488.7
2023,Massachusetts,6.89,28251.3,10849.4
2024,Massachusetts,6.888,29369.4,11278.4
2025,Massachusetts,6.887,30596.8,11771.8
2026,Massachusetts,6.886,31921.5,12321.3
1970,Michigan,8.882,2833.0,452.4
1971,Michigan,8.919,3032.7,730.8
1972,Michigan,8.957,3295.0,859.6
1973,Michigan,8.994,3546.3,825.8
1974,Michigan,9.032,3844.5,925.5
1975,Michigan,9.07,4437.1,1380.0
1976,Michigan,9.108,4791.0,2176.0
1977,Michigan,9.146,4963.6,2961.6
1978,Michigan,9.185,5444.9,2761.9
1979,Michigan,9.223,5900.4,3061.0
1980,Michigan,9.262,6507.8,4354.7
1981,Michigan,9.265,6995.0,4733.9
1982,Michigan,9.269,7273.1,4962.5
1983,Michigan,9.272,7282.2,5603.1
1984,Michigan,9.275,7859.1,5016.1
1985,Michigan,9.279,8267.9,4736.5
1986,Michigan,9.282,9540.3,5058.5
1987,Michigan,9.285,10111.5,5357.6
1988,Michigan,9.289,11112.4,5849.1
1989,Michigan,9.292,11482.3,5686.7
1990,Michigan,9.295,11968.8,6845.1
1991,Michigan,9.358,13123.5,6964.5
1992,Michigan,9.421,13506.8,4903.3
1993,Michigan,9.484,14960.2,4749.3
1994,Michigan,9.547,15172.3,4557.4
1995,Michigan,9.611,16501.3,4768.7
1996,Michigan,9.676,17402.5,4449.4
1997,Michigan,9.741,18471.6,4752.9
1998,Michigan,9.806,20091.1,4502.6
1999,Michigan,9.872,21471.3,4577.4
2000,Michigan,9.955,22779.4,4737.8
2001,Michigan,10.006,23706.5,5729.1
2002,Michigan,10.039,24096.1,6633.6
2003,Michigan,10.066,25045.4,7488.2
2004,Michigan,10.089,27443.7,7367.2
2005,Michigan,10.091,27499.4,5462.3
2006,Michigan,10.082,26706.8,5334.3
2007,Michigan,10.051,28665.8,5472.2
2008,Michigan,10.003,28804.5,5618.1
2009,Michigan,9.97,28511.2,7267.0
2010,Michigan,9.878,29409.6,10676.2
2011,Michigan,9.883,28987.4,8767.9
2012,Michigan,9.898,29074.0,7281.9
2013,Michigan,9.915,28316.9,6700.1
2014,Michigan,9.932,28912.0,7747.7
2015,Michigan,9.934,29276.3,5062.8
2016,Michigan,9.954,30379.9,5452.6
2017,Michigan,9.977,31140.0,5529.2
2018,Michigan,9.987,32747.2,5850.1
2019,Michigan,9.985,32945.9,6305.9
2020,Michigan,9.967,33034.6,6408.3
2021,Michigan,9.948,33180.5,6510.0
2022,Michigan,9.93,33567.7,6639.1
2023,Michigan,9.912,34282.3,6808.9
2024,Michigan,9.894,35359.8,7025.1
2025,Michigan,9.876,36799.5,7289.0
2026,Michigan,9.858,38571.7,7598.7
1970,Minnesota,3.806,1274.8,279.6
1971,Minnesota,3.832,1470.8,357.6
1972,Minnesota,3.859,1605.2,495.8
1973,Minnesota,3.885,1652.7,486.0
1974,Minnesota,3.912,1638.3,565.4
1975,Minnesota,3.939,1940.1,602.7
1976,Minnesota,3.966,2176.8,771.1
1977,Minnesota,3.993,2207.8,1090.0
1978,Minnesota,4.021,2344.5,1125.7
1979,Minnesota,4.048,2429.7,1184.3
1980,Minnesota,4.076,2699.9,1413.4
1981,Minnesota,4.105,2951.2,1777.0
1982,Minnesota,4.134,3307.5,1967.0
1983,Minnesota,4.164,3408.3,2090.9
1984,Minnesota,4.193,3765.3,2140.2
1985,Minnesota,4.223,3980.0,2400.8
1986,Minnesota,4.253,4295.1,2605.6
1987,Minnesota,4.283,4867.6,2709.2
1988,Minnesota,4.314,5118.0,2878.3
1989,Minnesota,4.344,5516.8,3128.2
1990,Minnesota,4.375,5849.2,3343.3
1991,Minnesota,4.427,6346.0,3841.8
1992,Minnesota,4.479,6665.4,2661.7
1993,Minnesota,4.532,7296.5,2628.5
1994,Minnesota,4.585,7542.0,2568.4
1995,Minnesota,4.639,8268.8,2805.9
1996,Minnesota,4.694,8381.8,2835.0
1997,Minnesota,4.749,8752.4,2714.8
1998,Minnesota,4.805,9182.0,3491.2
1999,Minnesota,4.862,9898.2,3437.8
2000,Minnesota,4.934,10432.7,3561.2
2001,Minnesota,4.983,11001.6,4160.2
2002,Minnesota,5.017,11435.3,4614.7
2003,Minnesota,5.048,11860.4,5230.1
2004,Minnesota,5.079,12136.1,4157.4
2005,Minnesota,5.107,12380.7,3957.2
2006,Minnesota,5.148,13381.2,3535.4
2007,Minnesota,5.191,14134.7,3764.2
2008,Minnesota,5.231,15027.7,3956.5
2009,Minnesota,5.266,16211.3,4576.0
2010,Minnesota,5.311,15552.0,6192.5
2011,Minnesota,5.347,15624.2,5544.3
2012,Minnesota,5.378,15674.9,4890.0
2013,Minnesota,5.415,16229.9,4276.8
2014,Minnesota,5.453,16695.9,4943.3
2015,Minnesota,5.484,17214.6,4413.9
2016,Minnesota,5.525,18492.6,4680.3
2017,Minnesota,5.569,19990.9,4812.9
2018,Minnesota,5.609,20310.1,5165.8
2019,Minnesota,5.64,19837.2,5696.7
2020,Minnesota,5.657,19682.6,5620.2
2021,Minnesota,5.675,19626.7,5587.4
2022,Minnesota,5.692,19801.0,5625.5
2023,Minnesota,5.71,20263.5,5751.7
2024,Minnesota,5.727,21029.1,5970.5
2025,Minnesota,5.745,22081.9,6276.7
2026,Minnesota,5.762,23382.3,6656.8
1970,Mississippi,2.217,434.3,52.3
1971,Mississippi,2.246,483.4,76.9
1972,Mississippi,2.275,526.6,101.3
1973,Mississippi,2.304,551.7,94.4
1974,Mississippi,2.334,641.8,80.0
1975,Mississippi,2.364,726.7,103.3
1976,Mississippi,2.394,854.5,148.7
1977,Mississippi,2.425,926.2,304.3
1978,Mississippi,2.457,1028.9,349.6
1979,Mississippi,2.488,1166.2,417.4
1980,Mississippi,2.521,1274.2,475.3
1981,Mississippi,2.526,1405.7,555.5
1982,Mississippi,2.531,1445.8,626.4
1983,Mississippi,2.536,1437.9,669.9
1984,Mississippi,2.542,1552.7,652.3
1985,Mississippi,2.547,1659.0,681.6
1986,Mississippi,2.552,1871.5,683.0
1987,Mississippi,2.557,1946.4,727.5
1988,Mississippi,2.563,2219.8,801.5
1989,Mississippi,2.568,2394.6,866.3
1990,Mississippi,2.573,2533.4,888.6
1991,Mississippi,2.599,2614.4,1083.4
1992,Mississippi,2.625,2682.3,573.8
1993,Mississippi,2.652,2801.3,614.6
1994,Mississippi,2.679,3068.8,666.2
1995,Mississippi,2.706,3490.5,675.5
1996,Mississippi,2.733,3700.6,638.1
1997,Mississippi,2.76,3763.9,817.4
1998,Mississippi,2.788,4144.8,598.7
1999,Mississippi,2.816,4464.6,601.4
2000,Mississippi,2.848,4862.0,684.0
2001,Mississippi,2.853,4954.0,994.2
2002,Mississippi,2.859,5143.1,958.2
2003,Mississippi,2.868,5335.4,1158.0
2004,Mississippi,2.886,5661.3,917.0
2005,Mississippi,2.9,5909.3,839.9
2006,Mississippi,2.897,6478.6,996.6
2007,Mississippi,2.922,6770.9,899.8
2008,Mississippi,2.94,7218.6,992.6
2009,Mississippi,2.952,7457.2,1141.5
2010,Mississippi,2.971,7537.2,1671.8
2011,Mississippi,2.979,7305.5,1530.9
2012,Mississippi,2.985,7513.5,1398.7
2013,Mississippi,2.99,7373.1,1265.6
2014,Mississippi,2.992,7660.8,1169.9
2015,Mississippi,2.99,7871.8,1034.2
2016,Mississippi,2.991,8320.2,930.4
2017,Mississippi,2.991,8241.6,890.6
2018,Mississippi,2.983,8188.2,912.0
2019,Mississippi,2.978,8321.8,776.3
2020,Mississippi,2.967,8414.2,730.7
2021,Mississippi,2.955,8534.0,698.8
2022,Mississippi,2.944,8727.7,684.8
2023,Mississippi,2.933,9012.9,692.3
2024,Mississippi,2.921,9391.9,721.9
2025,Mississippi,2.91,9857.5,771.8
2026,Mississippi,2.899,10395.6,838.7
1970,Missouri,4.678,1083.0,154.0
1971,Missouri,4.701,1148.5,210.1
1972,Missouri,4.724,1313.8,261.8
1973,Missouri,4.748,1349.3,212.2
1974,Missouri,4.772,1414.1,198.9
1975,Missouri,4.796,1606.8,293.2
1976,Missouri,4.82,1761.0,532.9
1977,Missouri,4.844,1816.2,737.1
1978,Missouri,4.868,1910.7,712.5
1979,Missouri,4.892,2090.7,777.1
1980,Missouri,4.917,2354.5,957.0
1981,Missouri,4.936,2612.6,1195.2
1982,Missouri,4.956,2649.1,1207.0
1983,Missouri,4.976,2749.1,1220.4
1984,Missouri,4.996,3058.6,1194.7
1985,Missouri,5.016,3315.9,1301.4
1986,Missouri,5.036,3620.6,1359.8
1987,Missouri,5.056,4093.7,1492.9
1988,Missouri,5.076,4320.3,1530.1
1989,Missouri,5.097,4725.4,1665.0
1990,Missouri,5.117,5022.1,1860.8
1991,Missouri,5.163,5406.6,2393.6
1992,Missouri,5.209,5610.9,1412.4
1993,Missouri,5.256,5584.5,1506.4
1994,Missouri,5.303,5952.7,1516.9
1995,Missouri,5.351,6707.7,1596.2
1996,Missouri,5.399,7219.6,1543.9
1997,Missouri,5.447,7619.9,1581.0
1998,Missouri,5.496,8159.0,1571.3
1999,Missouri,5.545,8714.1,1613.8
2000,Missouri,5.606,9342.9,1692.3
2001,Missouri,5.644,10023.7,2038.0
2002,Missouri,5.681,10720.1,2331.9
2003,Missouri,5.715,10841.5,2504.9
2004,Missouri,5.758,11040.1,2392.9
2005,Missouri,5.807,11562.3,2354.7
2006,Missouri,5.862,12190.1,2196.7
2007,Missouri,5.91,13000.4,2420.9
2008,Missouri,5.956,14281.0,2562.1
2009,Missouri,5.988,14713.4,3027.8
2010,Missouri,5.996,14506.3,4020.3
2011,Missouri,6.011,13990.0,3409.2
2012,Missouri,6.026,14515.4,2702.6
2013,Missouri,6.043,14601.1,2227.7
2014,Missouri,6.059,14831.8,2330.2
2015,Missouri,6.075,15152.9,1861.3
2016,Missouri,6.091,15350.0,1768.4
2017,Missouri,6.111,15608.4,1721.0
2018,Missouri,6.126,15728.7,1694.6
2019,Missouri,6.14,16020.8,1499.3
2020,Missouri,6.152,16261.8,1462.6
2021,Missouri,6.163,16536.4,1440.6
2022,Missouri,6.174,16927.9,1441.3
2023,Missouri,6.185,17468.0,1470.1
2024,Missouri,6.196,18163.1,1528.2
2025,Missouri,6.207,19003.8,1613.7
2026,Missouri,6.218,19969.3,1722.5
1970,Montana,0.694,186.6,28.1
1971,Montana,0.703,222.4,33.9
1972,Montana,0.712,240.8,42.1
1973,Montana,0.721,251.0,39.1
1974,Montana,0.73,278.8,42.4
1975,Montana,0.739,353.7,52.9
1976,Montana,0.748,406.8,78.6
1977,Montana,0.758,416.9,129.7
1978,Montana,0.767,509.2,139.7
1979,Montana,0.777,489.7,151.4
1980,Montana,0.787,549.8,171.6
1981,Montana,0.788,570.0,213.7
1982,Montana,0.789,626.2,264.9
1983,Montana,0.79,706.4,283.7
1984,Montana,0.792,761.1,305.9
1985,Montana,0.793,805.7,348.4
1986,Montana,0.794,848.2,360.7
1987,Montana,0.795,878.1,410.2
1988,Montana,0.797,872.5,403.0
1989,Montana,0.798,873.8,431.2
1990,Montana,0.799,954.1,526.3
1991,Montana,0.809,1065.3,562.1
1992,Montana,0.819,1091.3,241.8
1993,Montana,0.829,1157.7,272.6
1994,Montana,0.839,1293.5,277.8
1995,Montana,0.849,1417.6,307.5
1996,Montana,0.859,1481.8,335.5
1997,Montana,0.87,1464.3,352.9
1998,Montana,0.881,1480.2,284.7
1999,Montana,0.891,1619.2,318.4
2000,Montana,0.903,1657.0,329.8
2001,Montana,0.906,1738.5,440.7
2002,Montana,0.91,1810.6,423.0
2003,Montana,0.917,1907.5,500.2
2004,Montana,0.926,1954.8,407.3
2005,Montana,0.935,2012.0,394.7
2006,Montana,0.946,2186.1,396.2
2007,Montana,0.957,2361.0,416.8
2008,Montana,0.968,2549.7,458.1
2009,Montana,0.975,2593.2,622.4
2010,Montana,0.991,2616.4,851.1
2011,Montana,0.998,2625.1,789.0
2012,Montana,1.004,2529.5,494.8
2013,Montana,1.014,2587.8,463.2
2014,Montana,1.023,2689.9,454.8
2015,Montana,1.032,2761.4,396.1
2016,Montana,1.042,2908.5,410.0
2017,Montana,1.054,2972.1,430.3
2018,Montana,1.062,3117.0,396.5
2019,Montana,1.07,3116.2,349.5
2020,Montana,1.081,3113.2,334.6
2021,Montana,1.091,3121.5,323.2
2022,Montana,1.102,3160.2,318.3
2023,Montana,1.113,3237.5,321.5
2024,Montana,1.123,3356.0,333.1
2025,Montana,1.134,3513.8,352.7
2026,Montana,1.145,3705.9,379.2
1970,Nebraska,1.485,382.7,60.0
1971,Nebraska,1.494,419.6,84.8
1972,Nebraska,1.502,460.3,60.2
1973,Nebraska,1.51,463.5,62.9
1974,Nebraska,1.519,514.4,68.7
1975,Nebraska,1.527,627.5,97.8
1976,Nebraska,1.535,676.4,129.5
1977,Nebraska,1.544,788.2,187.0
1978,Nebraska,1.553,797.5,222.8
1979,Nebraska,1.561,910.4,220.6
1980,Nebraska,1.57,983.3,257.4
1981,Nebraska,1.571,1076.2,299.1
1982,Nebraska,1.572,1157.5,340.6
1983,Nebraska,1.572,1219.2,403.3
1984,Nebraska,1.573,1321.6,399.4
1985,Nebraska,1.574,1440.3,433.0
1986,Nebraska,1.575,1490.2,470.2
1987,Nebraska,1.576,1582.8,509.4
1988,Nebraska,1.577,1639.7,519.6
1989,Nebraska,1.578,1820.9,581.6
1990,Nebraska,1.578,1981.1,629.7
1991,Nebraska,1.591,2163.7,730.5
1992,Nebraska,1.604,2273.0,479.9
1993,Nebraska,1.617,2388.7,504.5
1994,Nebraska,1.63,2562.9,551.5
1995,Nebraska,1.643,2730.1,597.8
1996,Nebraska,1.657,2857.6,595.6
1997,Nebraska,1.67,2885.7,593.5
1998,Nebraska,1.684,2998.6,584.6
1999,Nebraska,1.697,3164.9,589.4
2000,Nebraska,1.713,3299.5,656.3
2001,Nebraska,1.718,3579.6,862.7
2002,Nebraska,1.725,3824.0,804.8
2003,Nebraska,1.734,3921.5,1120.1
2004,Nebraska,1.742,4068.4,975.0
2005,Nebraska,1.752,4166.1,986.7
2006,Nebraska,1.76,4373.9,939.4
2007,Nebraska,1.77,4757.3,1020.0
2008,Nebraska,1.782,5130.7,1055.8
2009,Nebraska,1.797,5524.6,1139.7
2010,Nebraska,1.83,5693.3,1407.3
2011,Nebraska,1.841,5762.4,1350.5
2012,Nebraska,1.854,5929.4,1155.2
2013,Nebraska,1.866,6090.6,1196.1
2014,Nebraska,1.88,6243.0,1207.9
2015,Nebraska,1.892,6671.4,1141.6
2016,Nebraska,1.906,7269.7,1119.8
2017,Nebraska,1.917,7398.0,1200.3
2018,Nebraska,1.926,7372.7,1193.6
2019,Nebraska,1.933,7438.8,1184.3
2020,Nebraska,1.938,7503.4,1126.3
2021,Nebraska,1.943,7600.5,1083.5
2022,Nebraska,1.948,7774.1,1067.5
2023,Nebraska,1.953,8040.5,1083.6
2024,Nebraska,1.958,8400.4,1132.6
2025,Nebraska,1.963,8845.3,1212.1
2026,Nebraska,1.968,9359.6,1316.8
1970,Nevada,0.489,135.9,30.4
1971,Nevada,0.513,137.7,43.0
1972,Nevada,0.539,179.7,66.7
1973,Nevada,0.567,205.9,57.4
1974,Nevada,0.595,210.7,65.2
1975,Nevada,0.625,234.2,89.5
1976,Nevada,0.657,280.5,126.5
1977,Nevada,0.69,299.3,166.5
1978,Nevada,0.725,327.6,187.5
1979,Nevada,0.762,374.5,216.1
1980,Nevada,0.8,468.6,244.5
1981,Nevada,0.834,475.5,305.4
1982,Nevada,0.868,561.5,341.1
1983,Nevada,0.904,578.9,372.5
1984,Nevada,0.942,563.9,338.4
1985,Nevada,0.981,615.9,363.7
1986,Nevada,1.022,758.0,412.8
1987,Nevada,1.064,824.3,431.5
1988,Nevada,1.108,935.0,466.9
1989,Nevada,1.154,1011.8,541.3
1990,Nevada,1.202,1252.7,689.3
1991,Nevada,1.265,1558.6,1016.7
1992,Nevada,1.33,1645.3,431.0
1993,Nevada,1.4,1667.4,498.5
1994,Nevada,1.473,1761.8,479.1
1995,Nevada,1.55,1847.2,582.6
1996,Nevada,1.631,2080.3,595.2
1997,Nevada,1.716,2438.4,640.9
1998,Nevada,1.805,2607.1,493.5
1999,Nevada,1.899,2986.7,692.0
2000,Nevada,2.018,3070.8,693.4
2001,Nevada,2.095,3480.4,806.0
2002,Nevada,2.166,3755.8,999.3
2003,Nevada,2.237,3941.0,1107.4
2004,Nevada,2.329,4251.5,1149.4
2005,Nevada,2.409,4591.3,1047.2
2006,Nevada,2.493,5240.4,1015.4
2007,Nevada,2.568,5777.5,1120.4
2008,Nevada,2.616,6361.3,1267.8
2009,Nevada,2.643,5954.0,1868.6
2010,Nevada,2.702,5667.0,3061.3
2011,Nevada,2.713,5678.9,2716.4
2012,Nevada,2.745,5463.0,2299.6
2013,Nevada,2.777,5476.3,1889.0
2014,Nevada,2.819,5736.6,1932.4
2015,Nevada,2.869,6078.4,1439.5
2016,Nevada,2.92,6186.3,1388.3
2017,Nevada,2.972,6783.0,1408.9
2018,Nevada,3.031,7208.4,1403.4
2019,Nevada,3.091,8155.6,1512.3
2020,Nevada,3.138,8950.6,1522.4
2021,Nevada,3.186,9652.3,1535.6
2022,Nevada,3.235,10255.6,1560.1
2023,Nevada,3.285,10750.8,1599.7
2024,Nevada,3.336,11136.9,1655.4
2025,Nevada,3.387,11424.3,1727.0
2026,Nevada,3.439,11634.2,1812.7
1970,New Hampshire,0.738,166.6,19.5
1971,New Hampshire,0.754,190.1,37.3
1972,New Hampshire,0.771,211.7,54.6
1973,New Hampshire,0.788,215.6,40.4
1974,New Hampshire,0.806,239.2,47.0
1975,New Hampshire,0.824,293.7,74.8
1976,New Hampshire,0.843,320.6,96.8
1977,New Hampshire,0.861,353.6,146.7
1978,New Hampshire,0.881,351.3,146.8
1979,New Hampshire,0.9,396.5,185.3
1980,New Hampshire,0.921,440.3,209.4
1981,New Hampshire,0.938,511.5,245.3
1982,New Hampshire,0.956,531.6,275.8
1983,New Hampshire,0.974,571.2,298.6
1984,New Hampshire,0.992,592.3,263.6
1985,New Hampshire,1.011,616.0,275.3
1986,New Hampshire,1.03,735.7,314.3
1987,New Hampshire,1.049,869.2,328.5
1988,New Hampshire,1.069,982.9,325.5
1989,New Hampshire,1.089,1134.8,411.6
1990,New Hampshire,1.109,1237.3,504.3
1991,New Hampshire,1.121,1273.9,640.2
1992,New Hampshire,1.133,1324.4,406.3
1993,New Hampshire,1.146,1398.6,426.3
1994,New Hampshire,1.158,1436.4,410.0
1995,New Hampshire,1.171,1549.0,448.4
1996,New Hampshire,1.184,1647.7,450.0
1997,New Hampshire,1.196,1787.8,427.3
1998,New Hampshire,1.209,1824.1,445.1
1999,New Hampshire,1.223,1868.7,456.7
2000,New Hampshire,1.24,2082.9,476.7
2001,New Hampshire,1.257,2250.6,526.8
2002,New Hampshire,1.271,2464.1,631.4
2003,New Hampshire,1.282,2643.6,726.3
2004,New Hampshire,1.293,2782.3,732.6
2005,New Hampshire,1.301,2924.3,708.9
2006,New Hampshire,1.312,3170.9,677.2
2007,New Hampshire,1.317,3295.2,749.4
2008,New Hampshire,1.322,3455.3,799.7
2009,New Hampshire,1.325,3522.9,935.4
2010,New Hampshire,1.317,3614.4,1176.0
2011,New Hampshire,1.32,3811.9,1045.9
2012,New Hampshire,1.325,3912.3,1464.7
2013,New Hampshire,1.327,3779.4,1407.3
2014,New Hampshire,1.334,3857.5,1044.0
2015,New Hampshire,1.337,4008.9,873.7
2016,New Hampshire,1.344,4184.8,846.5
2017,New Hampshire,1.35,4216.5,865.9
2018,New Hampshire,1.355,4291.5,879.4
2019,New Hampshire,1.361,4294.2,937.0
2020,New Hampshire,1.366,4282.5,935.1
2021,New Hampshire,1.372,4286.7,936.7
2022,New Hampshire,1.377,4333.6,947.5
2023,New Hampshire,1.383,4434.8,970.0
2024,New Hampshire,1.388,4594.0,1004.8
2025,New Hampshire,1.394,4808.8,1051.6
2026,New Hampshire,1.4,5072.5,1108.9
1970,New Jersey,7.171,1697.7,564.6
1971,New Jersey,7.19,2052.3,815.3
1972,New Jersey,7.209,2394.7,1069.6
1973,New Jersey,7.229,2436.6,982.7
1974,New Jersey,7.248,2771.6,1078.0
1975,New Jersey,7.267,3162.7,1343.2
1976,New Jersey,7.287,3235.0,1837.1
1977,New Jersey,7.306,3608.8,2417.4
1978,New Jersey,7.326,3747.8,2318.2
1979,New Jersey,7.345,4237.8,2406.4
1980,New Jersey,7.365,4515.8,2573.8
1981,New Jersey,7.401,5038.8,3008.2
1982,New Jersey,7.437,5136.2,3105.3
1983,New Jersey,7.473,5429.9,3123.9
1984,New Jersey,7.509,5932.1,3161.9
1985,New Jersey,7.545,6439.2,3441.4
1986,New Jersey,7.582,7097.1,3727.3
1987,New Jersey,7.619,7806.7,3941.7
1988,New Jersey,7.656,8480.5,4138.0
1989,New Jersey,7.693,9447.0,4729.5
1990,New Jersey,7.73,10185.0,5308.1
1991,New Jersey,7.796,10708.6,6425.9
1992,New Jersey,7.862,11818.1,4717.3
1993,New Jersey,7.929,12858.9,4680.7
1994,New Jersey,7.997,13727.0,4219.3
1995,New Jersey,8.065,14408.5,5185.9
1996,New Jersey,8.134,14798.9,5033.2
1997,New Jersey,8.203,15254.2,4783.6
1998,New Jersey,8.273,16408.2,4403.7
1999,New Jersey,8.343,17102.9,4389.3
2000,New Jersey,8.431,19036.5,4174.7
2001,New Jersey,8.489,20236.4,4847.9
2002,New Jersey,8.544,20799.0,5827.0
2003,New Jersey,8.583,23324.7,6506.3
2004,New Jersey,8.612,24999.8,5619.2
2005,New Jersey,8.622,26987.9,5367.0
2006,New Jersey,8.624,29640.0,5981.1
2007,New Jersey,8.636,30017.4,6094.7
2008,New Jersey,8.663,30924.4,6618.8
2009,New Jersey,8.708,32055.4,8256.1
2010,New Jersey,8.799,32229.9,12667.9
2011,New Jersey,8.829,31019.2,12226.5
2012,New Jersey,8.846,32203.1,11130.0
2013,New Jersey,8.858,33118.2,12025.3
2014,New Jersey,8.867,34606.2,10696.1
2015,New Jersey,8.87,35343.7,9149.6
2016,New Jersey,8.874,36735.7,9277.8
2017,New Jersey,8.888,37251.4,7376.9
2018,New Jersey,8.892,38074.2,7430.1
2019,New Jersey,8.891,37334.7,7868.2
2020,New Jersey,8.882,36908.4,7796.4
2021,New Jersey,8.873,36687.2,7782.8
2022,New Jersey,8.865,36927.3,7859.0
2023,New Jersey,8.856,37742.9,8047.3
2024,New Jersey,8.847,39164.2,8353.3
2025,New Jersey,8.838,41158.9,8769.9
2026,New Jersey,8.829,43647.4,9280.5
1970,New Mexico,1.017,326.7,30.4
1971,New Mexico,1.043,348.0,42.0
1972,New Mexico,1.069,380.1,56.5
1973,New Mexico,1.096,406.5,47.9
1974,New Mexico,1.123,430.7,46.3
1975,New Mexico,1.151,519.7,51.3
1976,New Mexico,1.18,579.1,84.3
1977,New Mexico,1.21,641.3,153.0
1978,New Mexico,1.24,720.6,150.0
1979,New Mexico,1.271,828.6,175.4
1980,New Mexico,1.303,933.4,207.0
1981,New Mexico,1.323,1044.7,251.7
1982,New Mexico,1.343,1173.7,286.2
1983,New Mexico,1.363,1281.3,331.4
1984,New Mexico,1.384,1350.3,334.9
1985,New Mexico,1.405,1458.8,347.2
1986,New Mexico,1.426,1596.9,387.1
1987,New Mexico,1.448,1526.5,435.0
1988,New Mexico,1.47,1591.0,466.0
1989,New Mexico,1.492,1754.0,495.8
1990,New Mexico,1.515,1886.8,554.5
1991,New Mexico,1.543,2062.8,668.4
1992,New Mexico,1.572,2173.7,511.7
1993,New Mexico,1.601,2312.6,533.7
1994,New Mexico,1.63,2338.4,528.6
1995,New Mexico,1.66,2592.7,597.1
1996,New Mexico,1.691,2632.4,565.8
1997,New Mexico,1.722,2997.6,586.5
1998,New Mexico,1.754,3140.5,578.6
1999,New Mexico,1.786,3365.8,588.0
2000,New Mexico,1.821,3726.9,594.0
2001,New Mexico,1.829,3888.9,768.8
2002,New Mexico,1.85,4210.4,717.7
2003,New Mexico,1.87,4412.4,921.3
2004,New Mexico,1.892,4691.5,833.8
2005,New Mexico,1.917,4915.6,846.8
2006,New Mexico,1.943,5268.2,757.3
2007,New Mexico,1.969,5809.6,655.0
2008,New Mexico,1.987,6278.3,746.6
2009,New Mexico,2.01,6694.9,917.6
2010,New Mexico,2.065,6567.3,1355.4
2011,New Mexico,2.081,6382.2,1365.1
2012,New Mexico,2.088,6331.2,1132.4
2013,New Mexico,2.093,6221.7,935.4
2014,New Mexico,2.09,6331.3,840.1
2015,New Mexico,2.09,6810.7,824.4
2016,New Mexico,2.093,6713.0,781.5
2017,New Mexico,2.093,6856.9,782.6
2018,New Mexico,2.094,6822.0,784.1
2019,New Mexico,2.1,6458.3,981.6
2020,New Mexico,2.106,6421.6,990.2
2021,New Mexico,2.113,6399.3,999.0
2022,New Mexico,2.12,6429.8,1012.7
2023,New Mexico,2.127,6532.6,1033.7
2024,New Mexico,2.133,6716.4,1063.3
2025,New Mexico,2.14,6982.1,1101.7
2026,New Mexico,2.147,7323.6,1148.7
1970,New York,18.241,5576.4,2803.9
1971,New York,18.172,6543.1,3462.4
1972,New York,18.103,7686.2,4743.4
1973,New York,18.034,7702.1,4389.6
1974,New York,17.965,8102.2,4546.4
1975,New York,17.897,8962.7,5231.2
1976,New York,17.828,9339.9,7643.9
1977,New York,17.76,9866.4,8169.2
1978,New York,17.693,10269.8,7808.9
1979,New York,17.625,10734.4,7429.7
1980,New York,17.558,11931.5,8569.9
1981,New York,17.601,12890.3,9809.9
1982,New York,17.644,13631.3,10873.6
1983,New York,17.687,14870.0,10667.2
1984,New York,17.73,15961.6,12407.8
1985,New York,17.773,17249.9,13845.7
1986,New York,17.816,18802.3,13628.1
1987,New York,17.86,20664.6,14795.1
1988,New York,17.903,22144.3,16198.6
1989,New York,17.947,24172.0,18178.0
1990,New York,17.991,25834.5,20570.1
1991,New York,18.087,28215.1,23950.1
1992,New York,18.184,28820.9,16024.8
1993,New York,18.281,30686.5,17374.8
1994,New York,18.379,32114.0,16401.1
1995,New York,18.477,33875.6,17480.3
1996,New York,18.576,33577.5,16448.3
1997,New York,18.675,34695.5,16024.5
1998,New York,18.775,36612.0,14310.5
1999,New York,18.876,38434.5,14463.2
2000,New York,18.998,41399.4,13443.1
2001,New York,19.089,45361.9,15012.5
2002,New York,19.162,48477.3,17176.9
2003,New York,19.231,50247.6,18498.3
2004,New York,19.298,52456.3,17736.3
2005,New York,19.331,54789.7,17451.2
2006,New York,19.357,58262.7,17440.4
2007,New York,19.423,61764.6,18835.9
2008,New York,19.468,65617.6,19375.6
2009,New York,19.542,69903.9,21776.8
2010,New York,19.4,71848.3,27933.7
2011,New York,19.5,72394.3,27388.4
2012,New York,19.574,72675.6,25388.1
2013,New York,19.627,75318.6,23268.6
2014,New York,19.653,78875.8,21014.7
2015,New York,19.657,80630.3,19631.0
2016,New York,19.636,83532.6,20190.9
2017,New York,19.594,86292.0,21757.7
2018,New York,19.544,89262.4,22732.7
2019,New York,19.463,78835.7,22292.0
2020,New York,19.337,75526.2,22520.6
2021,New York,19.211,72857.9,22757.0
2022,New York,19.087,71503.7,23113.2
2023,New York,18.963,71811.0,23641.3
2024,New York,18.84,73905.9,24365.1
2025,New York,18.717,77732.3,25289.0
2026,New York,18.596,83084.5,26402.3
